Log 2023_11_06_16_26_45_943     : start handling file sample/example.js
Log 2023_11_06_16_26_45_949     : import { foo } from "./foo";
Log 2023_11_06_16_26_45_949     : import { chicken } from "./subsample/chicken";
Log 2023_11_06_16_26_45_949     : 
Log 2023_11_06_16_26_45_949     : chicken();
Log 2023_11_06_16_26_45_951     : foo();
Log 2023_11_06_16_26_45_951     : end handling file sample/example.js
Log 2023_11_06_16_26_45_952     : start handling file sample/example.txt
Log 2023_11_06_16_26_45_954     : Hi sir
Log 2023_11_06_16_26_45_954     : hello dude
Log 2023_11_06_16_26_45_955     : jjj
Log 2023_11_06_16_26_45_954     : nice
Log 2023_11_06_16_26_45_956     : end handling file sample/example.txt
Log 2023_11_06_16_26_45_956     : klkkk
Log 2023_11_06_16_26_45_956     : start handling file sample/example2.txt
Log 2023_11_06_16_26_45_959     : hello dude
Log 2023_11_06_16_26_45_959     : Hi sir
Log 2023_11_06_16_26_45_962     : nice dsd
Log 2023_11_06_16_26_45_962     : end handling file sample/example2.txt
Log 2023_11_06_16_26_45_962     : start handling file sample/foo.js
Log 2023_11_06_16_26_45_964     : export const foo = function(){
Log 2023_11_06_16_26_45_964     :     console.log("foo");
Log 2023_11_06_16_26_45_966     : }
Log 2023_11_06_16_26_45_966     : end handling file sample/foo.js
Log 2023_11_06_16_26_45_968     : start handling file sample/subsample/chicken.js
Log 2023_11_06_16_26_45_969     : export const chicken = function(){
Log 2023_11_06_16_26_45_969     :     console.log("quack")
Log 2023_11_06_16_26_45_972     : }
Log 2023_11_06_16_26_45_972     : end handling file sample/subsample/chicken.js
